title,studio,domestic_gross,foreign_gross,year
the girl with the dragon tattoo (2011) (2011),sony,102500000.0,130100000.0,2011
the green hornet (2011),sony,98800000.0,129000000.0,2011
immortals (2011),rela.,83500000.0,143400000.0,2011
green lantern (2011),wb,116600000.0,103300000.0,2011
the help (2011),bv,169700000.0,46900000.0,2011
bad teacher (2011),sony,100300000.0,115900000.0,2011
just go with it (2011),sony,103000000.0,111900000.0,2011
battle: los angeles (2011),sony,83600000.0,128300000.0,2011
horrible bosses (2011),wb (nl),117500000.0,92100000.0,2011
paranormal activity 3 (2011),par.,104000000.0,103000000.0,2011
gnomeo and juliet (2011),bv,100000000.0,94000000.0,2011
mr. popper's penguins (2011),fox,68200000.0,119100000.0,2011
hugo (2011),par.,73900000.0,111900000.0,2011
the lion king (in 3d) (2011),bv,94200000.0,91300000.0,2011
hop (2011),uni.,108100000.0,75900000.0,2011
war horse (2011),bv,79900000.0,97700000.0,2011
the descendants (2011),foxs,82600000.0,94700000.0,2011
cowboys & aliens (2011),uni.,100200000.0,74600000.0,2011
in time (2011),fox,37500000.0,136400000.0,2011
zookeeper (2011),sony,80400000.0,89500000.0,2011
the muppets (2011),bv,88600000.0,76600000.0,2011
limitless (2011),rela.,79200000.0,82600000.0,2011
johnny english reborn (2011),uni.,8300000.0,151800000.0,2011
final destination 5 (2011),wb (nl),42600000.0,115300000.0,2011
tower heist (2011),uni.,78000000.0,74900000.0,2011
midnight in paris (2011),spc,56800000.0,94300000.0,2011
happy feet two (2011),wb,64000000.0,86400000.0,2011
i am number four (2011),bv,55100000.0,94800000.0,2011
jack and jill (2011),sony,74200000.0,75500000.0,2011
friends with benefits (2011),sgem,55800000.0,93700000.0,2011
no strings attached (2011),par.,70700000.0,78600000.0,2011
arthur christmas (2011),sony,46500000.0,101000000.0,2011
source code (2011),sum.,54700000.0,92600000.0,2011
"crazy, stupid, love. (2011)",wb,84400000.0,58500000.0,2011
new year's eve (2011),wb (nl),54500000.0,87500000.0,2011
contagion (2011),wb,75700000.0,59800000.0,2011
the artist (2011),wein.,44700000.0,88800000.0,2011
the three musketeers (2011) (2011),sum.,20400000.0,111900000.0,2011
unknown (2011),wb,63700000.0,67099999.0,2011
the adjustment bureau (2011),uni.,62500000.0,65400000.0,2011
we bought a zoo (2011),fox,75600000.0,44500000.0,2011
water for elephants (2011),fox,58700000.0,58400000.0,2011
the iron lady (2011),wein.,30000000.0,84900000.0,2011
moneyball (2011),sony,75600000.0,34600000.0,2011
sanctum (2011),uni.,23200000.0,85400000.0,2011
justin bieber: never say never (2011),par.,73000000.0,26000000.0,2011
paul (2011),uni.,37400000.0,60600000.0,2011
scream 4 (2011),w/dim.,38200000.0,59000000.0,2011
insidious (2011),fd,54000000.0,43000000.0,2011
the rite (2011),wb (nl),33000000.0,63000000.0,2011
dolphin tale (2011),wb,72300000.0,23100000.0,2011
season of the witch (2011),rela.,24800000.0,66800000.0,2011
sucker punch (2011),wb,36400000.0,53400000.0,2011
red riding hood (2011),wb,37700000.0,51500000.0,2011
spy kids: all the time in the world (2011),w/dim.,38500000.0,47000000.0,2011
j. edgar (2011),wb,37300000.0,47600000.0,2011
hall pass (2011),wb (nl),45100000.0,38100000.0,2011
"big mommas: like father, like son (2011)",fox,37900000.0,44800000.0,2011
abduction (2011),lgf,28100000.0,54000000.0,2011
"tinker, tailor, soldier, spy (2011)",focus,24100000.0,56500000.0,2011
priest (2011),sgem,29100000.0,49200000.0,2011
drive (2011) (2011),fd,35100000.0,41100000.0,2011
the mechanic (2011),cbs,29100000.0,47000000.0,2011
the ides of march (2011),sony,41000000.0,35000000.0,2011
the change-up (2011),uni.,37100000.0,38400000.0,2011
the lincoln lawyer (2011),lgf,58000000.0,17000000.0,2011
diary of a wimpy kid: rodrick rules (2011),fox,52700000.0,19700000.0,2011
larry crowne (2011),uni.,35600000.0,36400000.0,2011
the dilemma (2011),uni.,48500000.0,21200000.0,2011
the darkest hour (2011),sum.,21400000.0,43200000.0,2011
hanna (2011),focus,40300000.0,23500000.0,2011
footloose (2011) (2011),par.,51800000.0,11700000.0,2011
elite squad: the enemy within (2011),vari.,100000.0,62900000.0,2011
colombiana (2011),tris,36700000.0,24300000.0,2011
something borrowed (2011),wb,39000000.0,21100000.0,2011
one day (2011),focus,13800000.0,45500000.0,2011
beginning of the great revival (2011),cl,151000.0,58200000.0,2011
killer elite (2011),orf,25100000.0,31300000.0,2011
extremely loud & incredibly close (2011),wb,31800000.0,23400000.0,2011
the tree of life (2011),foxs,13300000.0,41000000.0,2011
tyler perry's madea's big happy family (2011),lgf,53300000.0,816000.0,2011
detective dee and the mystery of the phantom flame (2011),im,460000.0,51300000.0,2011
winnie the pooh (2011),bv,26700000.0,23200000.0,2011
conan the barbarian (2011) (2011),lgf,21300000.0,27500000.0,2011
soul surfer (2011),tris,43900000.0,3200000.0,2011
war of the arrows (2011),cj,251000.0,45800000.0,2011
arthur (2011) (2011),wb,33000000.0,12700000.0,2011
the debt (2011),focus,31200000.0,14500000.0,2011
beastly (2011),cbs,27900000.0,15300000.0,2011
of gods and men (2011),spc,4000000.0,38200000.0,2011
born to be wild (imax) (2011),wb,25900000.0,15600000.0,2011
evangelion 2.0: you can (not) advance (2011),elev.,134000.0,41000000.0,2011
